arm,setpoint_c,gain,plane,rung,rung_pct_planned,pct_of_tsat,exptime_s,pedestal,signal,var_pair,var_pair_spread,var_single,sat_frac,R_counts,ccd_temp,n_frames,usable
a1,-10.0,50,R,7,11.4,11.399998936845408,4.178983,64.61764176686604,422.5741793314616,78.49403455665663,0.7551181645714138,90.02119060703612,0.0,0.9128481513117577,-10.0,4,True
a1,-10.0,50,G1,7,11.4,11.399998936845408,4.178983,64.61166508992513,462.1057373682658,86.77796670698524,0.07761014904150443,102.05237924523179,0.0,0.9145413922412066,-10.0,4,True
a1,-10.0,50,G2,7,11.4,11.399998936845408,4.178983,64.63395563761394,461.9929192860921,86.99310875857921,0.30142807345781364,101.91287391901889,0.0,0.9140499798822033,-10.0,4,True
a1,-10.0,50,B,7,11.4,11.399998936845408,4.178983,64.6389102935791,463.29316425323486,85.74772854125041,0.14108916814700478,100.5524648518272,0.0,0.9131091208722306,-10.0,4,True
a1,-10.0,50,R,8,19.2,19.200000506633266,7.038288,64.61764176686604,705.727455774943,130.96453040225035,0.10029937307086811,161.91955008372736,0.0,0.9128481513117577,-10.0,4,True
a1,-10.0,50,G1,8,19.2,19.200000506633266,7.038288,64.61166508992513,772.5171248118082,145.41449100871006,0.8630146415978572,188.56260086780736,0.0,0.9145413922412066,-10.0,4,True
a1,-10.0,50,G2,8,19.2,19.200000506633266,7.038288,64.63395563761394,772.3914063771566,146.27211156842407,0.6652419667980496,187.3765885515594,0.0,0.9140499798822033,-10.0,4,True
a1,-10.0,50,B,8,19.2,19.200000506633266,7.038288,64.6389102935791,774.7332191467285,144.93701691361437,0.47789178914484864,185.71480028988452,0.0,0.9131091208722306,-10.0,4,True
a1,-10.0,50,R,9,32.0,32.00000084438878,11.73048,64.61764176686604,1170.5482699076335,215.78232406538606,1.9273834532287992,301.57473284098546,0.0,0.9128481513117577,-10.0,4,True
a1,-10.0,50,G1,9,32.0,32.00000084438878,11.73048,64.61166508992513,1280.954593340556,239.1648628326737,0.11443998765398078,354.5461701141826,0.0,0.9145413922412066,-10.0,4,True
a1,-10.0,50,G2,9,32.0,32.00000084438878,11.73048,64.63395563761394,1280.8199218114216,240.12940489239503,0.2639393242077688,353.3587899968318,0.0,0.9140499798822033,-10.0,4,True
a1,-10.0,50,B,9,32.0,32.00000084438878,11.73048,64.6389102935791,1284.7012872695923,238.4579096232921,0.9714846849002186,349.48407908164774,0.0,0.9131091208722306,-10.0,4,True
a1,-10.0,50,R,10,54.0,53.999998696969875,19.795184,64.61764176686604,1986.527995745341,366.51706591020377,1.2820490751979037,610.5909946572531,0.0,0.9128481513117577,-10.0,4,True
a1,-10.0,50,G1,10,54.0,53.999998696969875,19.795184,64.61166508992513,2170.650192896525,400.00675359798936,1.2590185655304822,734.0650271233313,0.0,0.9145413922412066,-10.0,4,True
a1,-10.0,50,G2,10,54.0,53.999998696969875,19.795184,64.63395563761394,2170.470496495565,401.98918656951463,2.229907595740201,722.0726820538645,0.0,0.9140499798822033,-10.0,4,True
a1,-10.0,50,B,10,54.0,53.999998696969875,19.795184,64.6389102935791,2176.4515686035156,398.9385755958714,2.187967291021778,715.3365026293999,0.0,0.9131091208722306,-10.0,4,True
