gain,offset,pedestal,n_pairs,R_sd,R_mad,R_err,plane_spread,R_at_offset,spatial_sd,fpn_ratio,sigmas_above_zero,zero_frac,zero_frac_gaussian
40,15,64.25591173171998,10.0,0.8567045248825339,1.048356495175127,0.00023157996877062032,0.0009705239100300522,0.8567045248825339,0.8583491422235965,1.00191970194308,75.00358626042083,0.0,0.0
50,0,4.751030826568604,10.0,0.9162544351316189,1.048356495175127,0.00021008607170819153,0.0009485148257377674,0.9139055533319432,0.9159021317958832,1.00218466608137,5.198601550507226,0.00037250518798828127,1.6476538483478667e-06
50,5,24.78025894165039,10.0,0.9162544351316189,1.048356495175127,0.00021008607170819153,0.0009485148257377674,0.9164771222204111,0.9185971081256866,1.0023131902083264,27.038600681720872,0.0,5.830145524299916e-155
50,10,44.77822551727295,10.0,0.9162544351316189,1.048356495175127,0.00021008607170819153,0.0009485148257377674,0.9171560320855943,0.9187221631407738,1.0017075950006218,48.822909026120854,0.0,0.0
50,15,64.75877313613891,10.0,0.9162544351316189,1.048356495175127,0.00021008607170819153,0.0009485148257377674,0.9162544351316189,0.918060126900673,1.0019707318183892,70.67771860426126,0.0,0.0
50,20,84.7511646270752,10.0,0.9162544351316189,1.048356495175127,0.00021008607170819153,0.0009485148257377674,0.9163154721976324,0.9184743136167526,1.0023560023644942,92.49125131960658,0.0,0.0
50,25,104.80728816986084,10.0,0.9162544351316189,1.048356495175127,0.00021008607170819153,0.0009485148257377674,0.9160339101761554,0.9181378930807114,1.0022968395396534,114.41420127089636,0.0,0.0
50,30,124.77749900817872,10.0,0.9162544351316189,1.048356495175127,0.00021008607170819153,0.0009485148257377674,0.9163869111058585,0.9182770863175392,1.0020626388142098,136.16246314299963,0.0,0.0
50,35,144.7499942779541,10.0,0.9162544351316189,1.048356495175127,0.00021008607170819153,0.0009485148257377674,0.9162461743493109,0.9181738331913947,1.0021038656379142,157.9815537901165,0.0,0.0
50,40,164.83733596801758,10.0,0.9162544351316189,1.048356495175127,0.00021008607170819153,0.0009485148257377674,0.9162181171922571,0.9182698473334312,1.0022393468352946,179.91058338069132,0.0,0.0
50,45,184.8344139099121,10.0,0.9162544351316189,1.048356495175127,0.00021008607170819153,0.0009485148257377674,0.9159644563844942,0.9183259934186936,1.0025781972408851,201.79212481616665,0.0,0.0
50,50,204.80669670104982,10.0,0.9162544351316189,1.048356495175127,0.00021008607170819153,0.0009485148257377674,0.9163376540840037,0.9183672383427619,1.002214886892089,223.50570860888635,0.0,0.0
60,15,65.48610515594481,10.0,1.0079364768047092,1.048356495175127,0.00030853294370145013,0.00266803881002442,1.0079364768047092,1.0099431931972505,1.0019909155375573,64.97046853939085,0.0,0.0
70,15,66.03336668014526,10.0,1.0891205414111997,1.048356495175127,0.0002453390060383808,0.007504743710177175,1.0891205414111997,1.091644524037838,1.0023174502092926,60.62998921550432,0.0,0.0
80,15,66.64342250823975,10.0,1.1737485071958702,1.048356495175127,0.00047692970933423676,0.004705139297840999,1.1737485071958702,1.1767589524388313,1.0025648128406597,56.77828095172911,0.0,0.0
90,15,67.54316072463988,10.0,1.3013907225998707,1.048356495175127,0.00034859321703398786,0.004095704297742975,1.3013907225998707,1.304665170609951,1.0025161144560326,51.90075474773988,0.0,0.0
100,0,8.581602668762208,10.0,1.4251291999570406,1.048356495175127,0.0004126657811366702,0.02349086633359554,1.4207622511863358,1.423879536986351,1.0021940939079796,6.040139834512477,0.0002934455871582031,6.418666607144785e-09
100,5,28.53228235244751,10.0,1.4251291999570406,1.048356495175127,0.0004126657811366702,0.02349086633359554,1.4247579115097686,1.4281818747520445,1.0024031894924854,20.026056442257477,0.0,1.7617217495086143e-86
100,10,48.629925346374506,10.0,1.4251291999570406,1.048356495175127,0.0004126657811366702,0.02349086633359554,1.4252951658171067,1.429151475429535,1.0027056217581551,34.11919615856936,0.0,2.871394661728708e-250
100,15,68.55434974102263,10.0,1.4251291999570406,1.048356495175127,0.0004126657811366702,0.02349086633359554,1.4251291999570406,1.4273742928149853,1.0015753609272846,48.10395418400602,0.0,0.0
100,20,88.63068923950195,10.0,1.4251291999570406,1.048356495175127,0.0004126657811366702,0.02349086633359554,1.4250171525602744,1.4285862296819687,1.0025045853765913,62.19622625612789,0.0,0.0
100,25,108.42507534027101,10.0,1.4251291999570406,1.048356495175127,0.0004126657811366702,0.02349086633359554,1.4260492698747183,1.4292376399040223,1.0022358063614338,76.03178770239573,0.0,0.0
100,30,128.57818908691408,10.0,1.4251291999570406,1.048356495175127,0.0004126657811366702,0.02349086633359554,1.4261543841149042,1.4290580093860628,1.0020359824318463,90.15727225542409,0.0,0.0
100,35,148.57710380554198,10.0,1.4251291999570406,1.048356495175127,0.0004126657811366702,0.02349086633359554,1.4247433413442383,1.4281772434711457,1.0024101899810725,104.28341687518274,0.0,0.0
100,40,168.62830238342286,10.0,1.4251291999570406,1.048356495175127,0.0004126657811366702,0.02349086633359554,1.4253384379864729,1.4293897151947021,1.0028423264961215,118.30755271122719,0.0,0.0
100,45,188.4769348144531,10.0,1.4251291999570406,1.048356495175127,0.0004126657811366702,0.02349086633359554,1.4253070006521686,1.4279965728521347,1.0018870125514963,132.23602685471474,0.0,0.0
100,50,208.5797222137451,10.0,1.4251291999570406,1.048356495175127,0.0004126657811366702,0.02349086633359554,1.4248684374053036,1.4292451560497283,1.0030716650951963,146.38524985055489,0.0,0.0
110,15,69.39793300628662,10.0,1.53972227480268,1.048356495175127,0.000360001364417492,0.02021420174296451,1.53972227480268,1.5438231185078621,1.002663365837003,45.07172114216518,0.0,0.0
120,15,70.7286192893982,10.0,1.715026755392722,2.096712990350254,0.000570280350687013,0.016267065086222443,1.715026755392722,1.7191725298762321,1.002417323502665,41.24053404239873,0.0,0.0
130,15,72.05154752731323,10.0,1.8587371027579735,2.096712990350254,0.00044908715896025845,0.011083103871818878,1.8587371027579735,1.8641488701105118,1.0029115292014714,38.76371081225201,0.0,0.0
140,15,73.40250968933105,10.0,2.0208866584145775,2.096712990350254,0.0007379833150239766,0.014518021449238194,2.0208866584145775,2.0269858211278913,1.003018062733958,36.32193294151225,0.0,2.846466783667276e-285
150,15,75.69640655517577,10.0,2.2623195527475817,2.096712990350254,0.0007530493993737438,0.006063397355432265,2.2623195527475817,2.2684543550014498,1.0027117310843277,33.45964387004597,0.0,1.4899121605643113e-242
160,15,77.06081857681275,10.0,2.487478061086778,2.096712990350254,0.0010773483778305367,0.03723802192356951,2.487478061086778,2.4947158604860307,1.0029096937627222,30.979496777207718,0.0,2.542554274640487e-208
170,15,79.22785539627075,10.0,2.701872003005831,2.096712990350254,0.0004203278909139745,0.030654431305076724,2.701872003005831,2.709394323825836,1.0027841144257155,29.323319279421753,0.0,5.88307432982266e-187
180,15,81.67757835388184,10.0,3.022680946437906,3.145069316937987,0.0009844705812664168,0.027671901140834176,3.022680946437906,3.033111047744751,1.0034506127148934,27.02156787342548,0.0,3.574301478647265e-159
182,15,81.65681591033935,10.0,3.025534861279233,3.145069316937987,0.00156974135533685,0.02240900730853923,3.025534861279233,3.0352944791316987,1.0032257495946812,26.98921666888804,0.0,8.491673776544374e-159
184,15,82.23326549530029,10.0,3.1157888728943655,3.145069316937987,0.0010880003884396867,0.029284574434775834,3.1157888728943655,3.124555334448815,1.0028135608387054,26.392438271631327,0.0,5.7406243836193115e-152
186,15,82.83236036300659,10.0,3.1995169086329187,3.145069316937987,0.0007580640098994359,0.016772995855747208,3.1995169086329187,3.2100586920976637,1.0032948047363968,25.889020976732073,0.0,2.5144953967480896e-146
188,15,82.835786151886,10.0,3.2004764996504447,3.145069316937987,0.0011264183254656931,0.020861206443825164,3.2004764996504447,3.2102718234062193,1.0030605829340864,25.88232913471894,0.0,2.9841093484746933e-146
190,0,24.636445331573487,10.0,3.2977836093471113,3.145069316937987,0.0011692457148077362,0.02320332367431499,3.287637691228151,3.297799491882324,1.0030909125665781,7.493661907243234,0.00020570755004882814,1.0554580803493441e-13
