cell,gain,exptime,plane,arm,n,sigma_1,eta_comb_1,eta_vs_raw_1,sigma_4,eta_comb_4,eta_vs_raw_4
C,200,30.0,G1,none,18,1.972395,0.991329,1.096736,0.572375,0.985662,1.021537
C,200,30.0,G1,winsorized,3,5.027342,0.952684,1.053983,1.473141,0.93808,0.972223
C,200,30.0,G1,winsorized,4,4.130771,1.004123,1.110891,1.204908,0.993255,1.029406
C,200,30.0,G1,winsorized,8,2.907745,1.008664,1.115915,0.854613,0.990217,1.026257
C,200,30.0,G1,winsorized,16,2.110903,0.982471,1.086936,0.626642,0.954916,0.989672
C,200,30.0,G1,winsorized,18,2.025097,0.965531,1.068195,0.602345,0.936621,0.97071
C,200,30.0,G2,none,3,4.653032,1.028861,1.138975,1.366078,1.011752,1.044473
C,200,30.0,G2,none,4,3.996682,1.037346,1.148368,1.166056,1.026504,1.059703
C,200,30.0,G2,none,8,2.794017,1.049251,1.161547,0.813635,1.040245,1.073888
C,200,30.0,G2,none,16,2.048755,1.01182,1.12011,0.587694,1.018354,1.051289
C,200,30.0,G2,none,18,1.972847,0.990658,1.096683,0.573198,0.984395,1.016232
C,200,30.0,G2,winsorized,3,4.998888,0.957677,1.060173,1.445285,0.956304,0.987232
C,200,30.0,G2,winsorized,4,4.127762,1.004405,1.111901,1.20418,0.994006,1.026153
C,200,30.0,G2,winsorized,8,2.899407,1.011112,1.119326,0.846147,1.000276,1.032626
C,200,30.0,G2,winsorized,16,2.110083,0.982412,1.087555,0.620721,0.96417,0.995352
C,200,30.0,G2,winsorized,18,2.025207,0.965045,1.068329,0.596244,0.946346,0.976952
C,200,30.0,B,none,3,3.488618,1.015019,1.138063,0.980858,1.024491,1.062909
C,200,30.0,B,none,4,2.998627,1.02267,1.146642,0.852888,1.020358,1.058622
C,200,30.0,B,none,8,2.096535,1.034286,1.159666,0.601203,1.02355,1.061933
C,200,30.0,B,none,16,1.518511,1.009741,1.132145,0.426956,1.019136,1.057354
C,200,30.0,B,none,18,1.449402,0.997385,1.118291,0.410544,0.999262,1.036735
C,200,30.0,B,winsorized,3,3.74928,0.944451,1.058941,1.040208,0.966037,1.002264
C,200,30.0,B,winsorized,4,3.097884,0.989903,1.109903,0.872993,0.99686,1.034242
C,200,30.0,B,winsorized,8,2.174722,0.997101,1.117973,0.619579,0.993192,1.030437
C,200,30.0,B,winsorized,16,1.563257,0.980839,1.09974,0.441558,0.985432,1.022386
C,200,30.0,B,winsorized,18,1.490053,0.970175,1.087783,0.424506,0.966396,1.002636
D,200,120.0,R,none,3,9.433332,1.065704,1.174534,2.774071,1.098852,1.17973
D,200,120.0,R,none,4,8.512041,1.022818,1.127269,2.527135,1.044622,1.121508
D,200,120.0,R,none,8,5.88349,1.046363,1.153218,1.795182,1.039834,1.116368
D,200,120.0,R,none,16,4.252769,1.0236,1.128131,1.281365,1.030112,1.10593
D,200,120.0,R,none,18,4.207643,0.97541,1.075019,1.296198,0.960085,1.030749
D,200,120.0,R,winsorized,3,10.237139,0.982026,1.082311,3.079096,0.989996,1.062862
D,200,120.0,R,winsorized,4,8.751583,0.994823,1.096415,2.655323,0.994192,1.067366
D,200,120.0,R,winsorized,8,6.074188,1.013512,1.117013,1.866213,1.000256,1.073876
D,200,120.0,R,winsorized,16,4.359873,0.998455,1.100418,1.351847,0.976405,1.04827
D,200,120.0,R,winsorized,18,4.289497,0.956797,1.054505,1.345562,0.924863,0.992934
D,200,120.0,G1,none,3,9.38007,1.067979,1.185578,2.733358,1.091,1.163398
D,200,120.0,G1,none,4,8.355422,1.038319,1.152653,2.472677,1.044442,1.113751
