file,t,exptime,level,minutes,flux,arm
stab_drift_0024.fits,2026-09-12T09:49:41.177,8.76101,1005.1620381673177,3.5691333333333333,114.73129675315035,drift
stab_drift_0025.fits,2026-09-12T09:49:50.080,8.76101,1005.5585225423177,3.7175166666666666,114.77655230873127,drift
stab_drift_0026.fits,2026-09-12T09:49:58.987,8.76101,1005.4407246907552,3.8659666666666666,114.76310661564764,drift
stab_drift_0027.fits,2026-09-12T09:50:07.886,8.76101,1005.2217305501302,4.014283333333333,114.73811016653676,drift
stab_drift_0028.fits,2026-09-12T09:50:16.825,8.76101,1005.0969746907552,4.163266666666667,114.72387027189276,drift
stab_drift_0029.fits,2026-09-12T09:50:25.741,8.76101,1005.2758076985677,4.311866666666666,114.74428264533059,drift
stab_drift_0030.fits,2026-09-12T09:50:34.688,8.76101,1003.9928487141927,4.460983333333333,114.59784302428518,drift
stab_drift_0031.fits,2026-09-12T09:50:43.611,8.76101,1005.474843343099,4.6097,114.76700098996565,drift
stab_alt_0000.fits,2026-09-12T09:50:59.902,3.504404,406.9055684407552,0.0,116.11263097541128,short
stab_alt_0001.fits,2026-09-12T09:51:03.611,15.769818,1801.3539326985676,0.061816666666666666,114.22794687285342,long
stab_alt_0002.fits,2026-09-12T09:51:19.547,3.504404,405.5408223470052,0.32741666666666663,115.72319354361117,short
stab_alt_0003.fits,2026-09-12T09:51:23.213,15.769818,1805.4381001790364,0.3885166666666667,114.48693321502101,long
stab_alt_0004.fits,2026-09-12T09:51:39.154,3.504404,404.9788106282552,0.6542,115.56282056185736,short
stab_alt_0005.fits,2026-09-12T09:51:42.817,15.769818,1805.0391133626301,0.7152499999999999,114.46163255420133,long
stab_alt_0006.fits,2026-09-12T09:51:58.803,3.504404,405.0289815266927,0.9816833333333334,115.57713708998526,short
stab_alt_0007.fits,2026-09-12T09:52:02.459,15.769818,1803.0702412923176,1.0426166666666667,114.33678190149801,long
stab_alt_0008.fits,2026-09-12T09:52:18.420,3.504404,405.51134236653644,1.3086333333333333,115.71478127708347,short
stab_alt_0009.fits,2026-09-12T09:52:22.077,15.769818,1804.0652364095051,1.3695833333333334,114.39987680323927,long
stab_alt_0010.fits,2026-09-12T09:52:38.014,3.504404,407.4730733235677,1.6352,116.27457146024479,short
stab_alt_0011.fits,2026-09-12T09:52:41.722,15.769818,1802.8488667805989,1.6969999999999998,114.32274404058428,long
stab_alt_0012.fits,2026-09-12T09:52:57.648,3.504404,405.0831807454427,1.9624333333333333,115.59260312037159,short
stab_alt_0013.fits,2026-09-12T09:53:01.305,15.769818,1805.6648457845051,2.0233833333333333,114.5013116691965,long
stab_alt_0014.fits,2026-09-12T09:53:17.243,3.504404,405.23839314778644,2.289016666666667,115.63689379072345,short
stab_alt_0015.fits,2026-09-12T09:53:20.949,15.769818,1805.9752095540364,2.3507833333333332,114.52099254119713,long
stab_alt_0016.fits,2026-09-12T09:53:36.882,3.504404,405.5984395345052,2.616333333333333,115.7396349092471,short
stab_alt_0017.fits,2026-09-12T09:53:40.601,15.769818,1806.3129781087239,2.678316666666667,114.54241121290835,long
stab_alt_0018.fits,2026-09-12T09:53:56.540,3.504404,405.2615254720052,2.943966666666667,115.64349472035906,short
stab_alt_0019.fits,2026-09-12T09:54:00.254,15.769818,1806.5232442220051,3.005866666666667,114.5557446650307,long
stab_alt_0020.fits,2026-09-12T09:54:16.235,3.504404,407.4874776204427,3.2722166666666666,116.27868180165378,short
stab_alt_0021.fits,2026-09-12T09:54:19.943,15.769818,1805.9092915852864,3.3340166666666664,114.51681253298462,long
stab_alt_0022.fits,2026-09-12T09:54:35.895,3.504404,405.46617635091144,3.599883333333333,115.70189291842819,short
stab_alt_0023.fits,2026-09-12T09:54:39.554,15.769818,1803.3655293782551,3.6608666666666663,114.35550679013893,long
stab_alt_0024.fits,2026-09-12T09:54:55.487,3.504404,402.90611775716144,3.926416666666667,114.97136681648618,short
stab_alt_0025.fits,2026-09-12T09:54:59.153,15.769818,1803.4055684407551,3.9875166666666666,114.35804575809024,long
stab_alt_0026.fits,2026-09-12T09:55:15.106,3.504404,405.35265096028644,4.2534,115.66949785478114,short
stab_alt_0027.fits,2026-09-12T09:55:18.809,15.769818,1804.8911641438801,4.3151166666666665,114.452250757991,long
stab_alt_0028.fits,2026-09-12T09:55:34.780,3.504404,407.43919881184894,4.5813,116.26490519125333,short
stab_alt_0029.fits,2026-09-12T09:55:38.482,15.769818,1806.7380879720051,4.643,114.56936839550114,long
