elapsed_s,date_obs,pedestal,ccd_temp
362.0,2026-08-28T20:48:02.687,68.77227401733398,-10.0
364.001,2026-08-28T20:48:04.688,68.26359176635742,-10.0
366.0,2026-08-28T20:48:06.687,68.77870178222656,-10.0
368.0,2026-08-28T20:48:08.687,68.27127456665039,-10.0
370.001,2026-08-28T20:48:10.688,68.78529357910156,-10.0
372.0,2026-08-28T20:48:12.687,68.77374267578125,-10.0
374.001,2026-08-28T20:48:14.688,68.26877021789551,-10.0
376.0,2026-08-28T20:48:16.687,68.77968788146973,-10.0
378.0,2026-08-28T20:48:18.687,68.2713737487793,-10.0
380.0,2026-08-28T20:48:20.687,68.7805347442627,-10.0
382.0,2026-08-28T20:48:22.687,68.26765823364258,-10.0
384.001,2026-08-28T20:48:24.688,68.26875305175781,-10.0
386.0,2026-08-28T20:48:26.687,68.77979278564453,-10.0
388.0,2026-08-28T20:48:28.687,68.7764949798584,-10.0
390.0,2026-08-28T20:48:30.687,68.26044654846191,-10.0
392.0,2026-08-28T20:48:32.687,68.2624683380127,-10.0
394.0,2026-08-28T20:48:34.687,68.26543807983398,-10.0
396.0,2026-08-28T20:48:36.687,68.77678489685059,-10.0
398.001,2026-08-28T20:48:38.688,68.26563835144043,-10.0
400.0,2026-08-28T20:48:40.687,68.78434753417969,-10.0
402.001,2026-08-28T20:48:42.688,68.26594352722168,-10.0
404.0,2026-08-28T20:48:44.687,68.7740249633789,-10.0
406.0,2026-08-28T20:48:46.687,68.78538513183594,-10.0
408.0,2026-08-28T20:48:48.687,68.78544235229492,-10.0
410.0,2026-08-28T20:48:50.687,68.76857948303223,-10.0
412.0,2026-08-28T20:48:52.687,68.7811336517334,-10.0
414.0,2026-08-28T20:48:54.687,68.26820373535156,-10.0
416.0,2026-08-28T20:48:56.687,68.7725601196289,-10.0
418.0,2026-08-28T20:48:58.687,68.77534866333008,-10.0
420.0,2026-08-28T20:49:00.687,68.78143119812012,-10.0
422.001,2026-08-28T20:49:02.688,68.26774787902832,-10.0
424.0,2026-08-28T20:49:04.687,68.77367401123047,-10.0
426.0,2026-08-28T20:49:06.687,68.77300453186035,-10.0
428.0,2026-08-28T20:49:08.687,68.26208877563477,-10.0
430.0,2026-08-28T20:49:10.687,68.26424407958984,-10.0
432.001,2026-08-28T20:49:12.688,68.76776504516602,-10.0
434.0,2026-08-28T20:49:14.687,68.77621459960938,-10.0
436.001,2026-08-28T20:49:16.688,68.26625442504883,-10.0
438.0,2026-08-28T20:49:18.687,68.26412200927734,-10.0
440.001,2026-08-28T20:49:20.688,68.77452659606934,-10.0
442.001,2026-08-28T20:49:22.688,68.25765800476074,-10.0
444.0,2026-08-28T20:49:24.687,68.2631893157959,-10.0
446.0,2026-08-28T20:49:26.687,68.78233337402344,-10.0
448.001,2026-08-28T20:49:28.688,68.78226280212402,-10.0
450.0,2026-08-28T20:49:30.687,68.26725196838379,-10.0
452.0,2026-08-28T20:49:32.687,68.2627944946289,-10.0
454.0,2026-08-28T20:49:34.687,68.7783374786377,-10.0
456.001,2026-08-28T20:49:36.688,68.77743530273438,-10.0
458.001,2026-08-28T20:49:38.688,68.77640151977539,-10.0
460.001,2026-08-28T20:49:40.688,68.77365112304688,-10.0
462.0,2026-08-28T20:49:42.687,68.77437210083008,-10.0
464.0,2026-08-28T20:49:44.687,68.77909469604492,-10.0
466.0,2026-08-28T20:49:46.687,68.77540016174316,-10.0
468.0,2026-08-28T20:49:48.687,68.2703628540039,-10.0
470.0,2026-08-28T20:49:50.687,68.78150177001953,-10.0
472.001,2026-08-28T20:49:52.688,68.26101875305176,-10.0
474.0,2026-08-28T20:49:54.687,68.26212120056152,-10.0
476.001,2026-08-28T20:49:56.688,68.78001403808594,-10.0
478.0,2026-08-28T20:49:58.687,68.78243064880371,-10.0
480.0,2026-08-28T20:50:00.687,68.78093338012695,-10.0
482.0,2026-08-28T20:50:02.687,68.78321838378906,-10.0
484.0,2026-08-28T20:50:04.687,68.26275634765625,-10.0
486.0,2026-08-28T20:50:06.687,68.77886390686035,-10.0
488.0,2026-08-28T20:50:08.687,68.77752113342285,-10.0
490.0,2026-08-28T20:50:10.687,68.7838249206543,-10.0
492.001,2026-08-28T20:50:12.688,68.78109741210938,-10.0
494.001,2026-08-28T20:50:14.688,68.78163146972656,-10.0
496.0,2026-08-28T20:50:16.687,68.26827812194824,-10.0
498.0,2026-08-28T20:50:18.687,68.77960395812988,-10.0
500.001,2026-08-28T20:50:20.688,68.26375770568848,-10.0
502.0,2026-08-28T20:50:22.687,68.26986312866211,-10.0
504.0,2026-08-28T20:50:24.687,68.77521514892578,-10.0
506.0,2026-08-28T20:50:26.687,68.77815055847168,-10.0
508.0,2026-08-28T20:50:28.687,68.26773262023926,-10.0
510.0,2026-08-28T20:50:30.687,68.2643051147461,-10.0
512.0,2026-08-28T20:50:32.687,68.26244354248047,-10.0
514.0,2026-08-28T20:50:34.687,68.25676918029785,-10.0
516.001,2026-08-28T20:50:36.688,68.76704406738281,-10.0
518.0,2026-08-28T20:50:38.687,68.77730751037598,-10.0
520.001,2026-08-28T20:50:40.688,68.26028823852539,-10.0
522.0,2026-08-28T20:50:42.687,68.77398681640625,-10.0
